,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,underground,price_meter
317,Домодедово,2,22,2.0,60.0,6700000.0,2016,33.3,11.4,Подольск,111666.66666666667
318,Домодедово,12,17,2.0,62.0,8950000.0,2021,30.2,9.2,Подольск,144354.83870967742
319,Домодедово,13,17,1.0,40.0,7150000.0,,36.35070730640222,10.0,Подольск,178750.0
320,Домодедово,1,5,3.0,62.2,6540000.0,,49.0,6.0,Домодедово,105144.69453376206
321,Домодедово,11,17,1.0,36.0,5650000.0,2014,16.0,9.5,Подольск,156944.44444444444
322,Домодедово,17,17,1.0,35.4,6000000.0,,16.0,8.0,Подольск,169491.52542372883
323,Домодедово,2,22,2.0,59.3,6700000.0,2015,34.0,10.0,Подольск,112984.82293423272
324,Домодедово,15,17,1.0,46.0,4880000.0,2024,22.0,12.0,Домодедовская,106086.95652173914
325,Домодедово,3,4,3.0,52.0,8000000.0,1964,36.5,6.0,Подольск,153846.15384615384
326,Домодедово,9,14,1.0,47.4,8000000.0,2009,19.0,12.0,Подольск,168776.37130801688
327,Домодедово,3,12,2.0,57.0,8000000.0,2015,34.0,9.5,Подольск,140350.87719298244
328,Домодедово,4,5,2.0,45.0,8000000.0,,32.0,6.0,Домодедово,177777.77777777778
329,Домодедово,2,17,2.0,55.0,8000000.0,,22.6,8.1,Подольск,145454.54545454544
330,Домодедово,3,22,3.0,71.2,8100000.0,2016,44.0,13.7,Подольск,113764.04494382022
331,Домодедово,3,3,3.0,85.3,8100000.0,2016,43.5,22.4,Домодедовская,94958.96834701055
332,Домодедово,3,22,3.0,73.0,8099000.0,,36.35070730640222,13.5,Подольск,110945.20547945205
333,Домодедово,4,5,3.0,60.0,8050000.0,1972,48.0,6.0,Подольск,134166.66666666666
334,Домодедово,4,17,3.0,74.0,8152000.0,2017,41.0,10.0,Подольск,110162.16216216216
335,Домодедово,13,17,2.0,57.3,8190000.0,,23.0,18.0,Домодедово,142931.93717277487
336,Домодедово,5,14,1.0,41.5,8200000.0,2009,10.0,11.0,Подольск,197590.36144578314
337,Домодедово,1,17,2.0,55.0,8200000.0,2015,30.0,9.0,Подольск,149090.9090909091
338,Домодедово,1,5,3.0,63.0,8200000.0,,52.0,6.0,Подольск,130158.73015873016
339,Домодедово,4,5,4.0,65.0,8200000.0,1974,40.0,12.128758683969064,Подольск,126153.84615384616
340,Домодедово,7,17,1.0,40.0,8250000.0,,18.0,11.0,Подольск,206250.0
341,Домодедово,8,10,3.0,61.5,8290000.0,1994,37.0,9.0,Домодедово,134796.74796747966
342,Домодедово,8,17,1.0,42.0,8250000.0,2022,17.0,10.0,Подольск,196428.57142857142
343,Домодедово,3,4,3.0,53.7,8300000.0,1964,36.6,8.0,Домодедовская,154562.38361266293
344,Домодедово,5,5,3.0,67.0,8300000.0,,39.0,10.1,Домодедово,123880.59701492537
345,Домодедово,3,9,2.0,50.0,8300000.0,,31.0,8.0,Подольск,166000.0
346,Домодедово,10,10,2.0,57.4,8370000.0,,31.0,12.0,Подольск,145818.81533101047
347,Домодедово,10,10,1.0,44.5,8300000.0,2015,19.2,13.8,Домодедово,186516.85393258426
348,Домодедово,8,17,1.0,38.0,8350000.0,2009,18.0,10.0,Подольск,219736.84210526315
349,Домодедово,11,18,2.0,52.3,8350000.0,2020,32.5,9.5,Домодедово,159655.83173996178
350,Домодедово,5,17,1.0,43.0,8400000.0,,16.0,10.0,Подольск,195348.83720930232
351,Клин,1,9,2.0,53.3,8500000.0,,28.0,12.7,Клин,159474.67166979364
352,Клин,6,9,3.0,67.5,8500000.0,1991,45.0,7.0,Клин,125925.92592592593
353,Клин,1,5,3.0,60.0,8500000.0,1979,42.0,8.0,Клин,141666.66666666666
354,Клин,8,10,3.0,85.0,8600000.0,2021,36.35070730640222,12.0,Клин,101176.4705882353
355,Клин,3,9,4.0,70.0,8630000.0,1979,36.35070730640222,6.6,Клин,123285.71428571429
356,Клин,9,9,3.0,60.1,8600000.0,1984,37.0,8.0,Клин,143094.84193011647
357,Клин,1,5,3.0,58.0,8600000.0,1964,48.0,7.0,Клин,148275.8620689655
358,Клин,8,9,2.0,61.66,8840000.0,,33.2,11.6,Клин,143366.85047032114
359,Клин,3,9,3.0,59.6,8900000.0,1977,41.0,6.9,Клин,149328.85906040267
360,Клин,8,15,2.0,66.2,9200000.0,2019,32.0,15.0,Клин,138972.80966767372
361,Клин,10,10,3.0,68.8,9500000.0,Напишите автору,41.1,10.6,Клин,138081.39534883722
362,Клин,2,4,2.0,70.5,9800000.0,1957,37.0,14.7,Клин,139007.09219858155
363,Клин,1,3,3.0,143.0,10000000.0,,36.35070730640222,10.0,Клин,69930.06993006993
364,Клин,4,4,4.0,81.6,10100000.0,2013,53.0,12.0,Клин,123774.50980392158
365,Клин,5,6,4.0,121.0,10395000.0,2000,54.4,19.3,Клин,85909.09090909091
366,Клин,1,4,4.0,154.0,10500000.0,2008,9.0,32.0,Ховрино,68181.81818181818
367,Клин,9,9,2.0,60.0,10600000.0,,36.35070730640222,12.5,Клин,176666.66666666666
368,Клин,4,10,3.0,81.7,10990000.0,2008,49.3,9.6,Клин,134516.52386780904
369,Клин,2,4,3.0,64.0,10900000.0,,36.35070730640222,9.0,Клин,170312.5
370,Клин,1,4,3.0,75.8,10900000.0,1959,52.8,8.3,Клин,143799.4722955145
371,Клин,13,18,2.0,66.0,11000000.0,,30.0,12.0,Клин,166666.66666666666
372,Клин,6,10,2.0,81.0,11799999.0,2018,36.35070730640222,18.0,Клин,145679.0
373,Клин,6,9,2.0,78.0,11800000.0,,34.0,12.0,Клин,151282.05128205128
374,Клин,2,15,2.0,122.5,11990000.0,1990,52.5,8.0,Клин,97877.55102040817
375,Клин,18,18,1.0,100.0,12000000.0,,50.0,25.0,Клин,120000.0
376,Клин,3,4,3.0,94.0,12000000.0,1955,36.35070730640222,12.0,Клин,127659.5744680851
377,Клин,8,10,3.0,71.0,12000000.0,2003,46.0,12.0,Клин,169014.08450704225
378,Клин,5,9,3.0,75.0,12000000.0,2016,58.0,10.0,Клин,160000.0
379,Клин,4,5,1.0,31.0,3599999.0,1967,36.35070730640222,6.5,Клин,116129.0
380,Клин,1,3,2.0,42.7,4950000.0,1960,32.5,6.0,Клин,115925.05854800936
381,Клин,3,4,2.0,44.0,4400000.0,1962,28.0,6.0,Клин,100000.0
382,Клин,4,9,1.0,32.4,3400000.0,1975,18.0,6.5,Клин,104938.27160493827
383,Клин,4,4,2.0,42.0,3650000.0,,28.0,6.0,Клин,86904.76190476191
384,Клин,3,5,3.0,56.0,6300000.0,1982,36.35070730640222,6.5,Клин,112500.0
385,Клин,4,9,2.0,47.6,5400000.0,1969,29.4,7.0,Клин,113445.3781512605
386,Клин,5,5,2.0,37.0,4199999.0,1969,36.35070730640222,7.0,Клин,113513.48648648648
387,Клин,3,5,1.0,32.0,3490000.0,1962,18.2,6.0,Клин,109062.5
388,Клин,3,5,2.0,42.8,6000000.0,,28.0,6.5,Клин,140186.91588785048
389,Клин,4,4,2.0,42.0,3490000.0,1961,36.35070730640222,5.6,Клин,83095.23809523809
390,Клин,5,9,1.0,31.9,5200000.0,,36.35070730640222,8.0,Клин,163009.40438871473
391,Клин,1,5,3.0,61.4,5800000.0,1978,44.0,6.0,Клин,94462.54071661238
392,Клин,2,9,2.0,45.9,5900000.0,1972,31.0,7.0,Клин,128540.30501089325
393,Клин,4,5,2.0,48.0,5599999.0,1982,27.0,8.0,Клин,116666.64583333333
394,Клин,3,4,2.0,50.9,6000000.0,2013,28.0,8.0,Клин,117878.19253438115
395,Клин,3,4,2.0,51.0,6000000.0,2013,29.0,8.0,Клин,117647.05882352941
396,Клин,7,9,1.0,30.8,3450000.0,2023,36.35070730640222,8.0,Клин,112012.98701298701
